Rank,Company,Country/Territory,Sales,Profits,Assets,Market Value,Industry,Founded,Chief Executive Officer,Employees
49,Boeing,United States,101100000000.0,10500000000.0,117400000000.0,214500000000.0,Aerospace & Defense,1916,,153000.0
96,AIRBUS,Netherlands,75200000000.0,3600000000.0,131699999999.99998,104900000000.0,Aerospace & Defense,1998,,133671.0
181,Lockheed Martin,United States,53800000000.0,5000000000.0,44900000000.0,88900000000.0,Aerospace & Defense,1995,,105000.0
235,General Dynamics,United States,36200000000.0,3300000000.0,45400000000.0,51100000000.0,Aerospace & Defense,1952,,105600.0
277,Northrop Grumman,United States,30100000000.0,3200000000.0,37700000000.0,47800000000.0,Aerospace & Defense,1939,,85000.0
304,Raytheon,United States,27100000000.0,2900000000.0,31900000000.0,51100000000.0,Aerospace & Defense,1922,,67000.0
311,Safran,France,24800000000.0,1500000000.0,46400000000.0,56700000000.0,Aerospace & Defense,2005,,92639.0
477,BAE Systems,United States,22400000000.0,1300000000.0,32000000000.0,20400000000.0,Aerospace & Defense,1999,,41.0
503,Thales,France,18700000000.0,1200000000.0,29200000000.0,25700000000.0,Aerospace & Defense,1918,,66135.0
733,Rolls-Royce Holdings,United Kingdom,21000000000.0,-3200000000.0,40600000000.0,22500000000.0,Aerospace & Defense,1904,,50000.0
907,L3Harris Technologies,United States,10200000000.0,771000000.0,13500000000.0,17000000000.0,Aerospace & Defense,1997,,31000.0
980,Leonardo,Italy,14400000000.0,600000000.0,29200000000.0,6900000000.0,Aerospace & Defense,1897,,46462.0
987,Motorola Solutions,United States,7300000000.0,967000000.0,9400000000.0,23600000000.0,Aerospace & Defense,1928,Gregory Q. Brown,16000.0
1082,Dassault Aviation,France,6000000000.0,676000000.0,19500000000.0,12100000000.0,Aerospace & Defense,1911,,11494.0
1160,TransDigm Group,United States,4000000000.0,821000000.0,12400000000.0,24800000000.0,Aerospace & Defense,2003,Kevin M. Stein,10100.0
1268,Huntington Ingalls Industries,United States,8199999999.999999,836000000.0,6800000000.0,9200000000.0,Aerospace & Defense,2010,Mike Petters,40000.0
1304,Leidos,United States,10200000000.0,581000000.0,9000000000.0,9400000000.0,Aerospace & Defense,1969,Roger A. Krone,32000.0
1310,Bombardier,Canada,16200000000.0,232000000.0,25000000000.0,5000000000.0,Aerospace & Defense,1902,,64010.0
1450,Spirit AeroSystems,United States,7200000000.0,617000000.0,5700000000.0,9000000000.0,Aerospace & Defense,2005,Thomas C. Gentile,17000.0
1569,MTU Aero Engines AG,Germany,5400000000.0,527000000.0,8199999999.999999,11900000000.0,Aerospace & Defense,2003,Egon Behle,9731.0
1895,United Aircraft,Russia,7700000000.0,-23000000.0,17200000000.0,5100000000.0,Aerospace & Defense,,,
1974,AVIC International Holdings,China,8199999999.999999,-85000000.0,14800000000.0,809000000.0,Aerospace & Defense,1997,,61874.0
